time	real(VinPA[1])
1.10500000000000020E-7	-1.55206566786214939E-1
1.10999999999999988E-7	-2.33927180445894756E-1
1.11499999999999999E-7	-2.98383202603282216E-1
1.12000000000000011E-7	-3.45346902789061883E-1
1.12500000000000022E-7	-3.73171081522499604E-1
1.13000000000000012E-7	-3.81792788737531286E-1
1.13500000000000023E-7	-3.72596101095469656E-1
1.14000000000000012E-7	-3.48159404435505948E-1
1.14500000000000002E-7	-3.11934068699571521E-1
1.14999999999999991E-7	-2.68006552581945634E-1
1.15500000000000025E-7	-2.20334751914866356E-1
1.15999999999999992E-7	-1.72692798782855506E-1
1.16500000000000004E-7	-1.28353521053225794E-1
1.17000000000000015E-7	-8.99087911907473014E-2
1.17499999999999982E-7	-5.91798124660747416E-2
1.18000000000000038E-7	-3.72112244909004231E-2
1.18500000000000005E-7	-2.43337187078115980E-2
1.19000000000000017E-7	-2.02737392070575329E-2
1.19499999999999984E-7	-2.42863744486534161E-2
1.19999999999999996E-7	-3.52377961531953421E-2
1.20499999999999963E-7	-5.18846649460492237E-2
1.21000000000000019E-7	-7.27922912660864263E-2
1.21499999999999986E-7	-9.64400971384294969E-2
1.22000000000000020E-7	-1.21245931809511798E-1
1.22500000000000031E-7	-1.45572828785390529E-1
1.23000000000000020E-7	-1.67732534366490027E-1
1.23499999999999988E-7	-1.86000975113449618E-1
1.23999999999999999E-7	-1.98658601389621037E-1
1.24500000000000033E-7	-2.04063618980156480E-1
1.25000000000000022E-7	-2.00810257128452596E-1
1.25499999999999989E-7	-1.87699946590862843E-1
1.26000000000000023E-7	-1.64058435702190142E-1
1.26499999999999968E-7	-1.29827381453605373E-1
1.27000000000000002E-7	-8.56806390874254298E-2
1.27499999999999991E-7	-3.30899654466499671E-2
1.28000000000000003E-7	2.56783311652764912E-2
1.28500000000000036E-7	8.76474052563499839E-2
1.28999999999999981E-7	1.49296993404887446E-1
1.29499999999999993E-7	2.06811623687825907E-1
1.30000000000000004E-7	2.56473236102523527E-1
1.30500000000000038E-7	2.94713847198477774E-1
1.31000000000000005E-7	3.18668035804542171E-1
1.31499999999999995E-7	3.26414834700485645E-1
1.32000000000000006E-7	3.17203534503691920E-1
1.32500000000000018E-7	2.91582534635260071E-1
1.33000000000000007E-7	2.51412667307671311E-1
1.33499999999999974E-7	1.99758177979720508E-1
1.34000000000000008E-7	1.40661493621837663E-1
1.34500000000000042E-7	7.88264312965776348E-2
1.35000000000000009E-7	1.92189071632447073E-2
1.35499999999999998E-7	-3.33038439067479475E-2
1.36000000000000032E-7	-7.45155344898319605E-2
1.36500000000000021E-7	-1.01125506325746706E-1
1.37000000000000011E-7	-1.11048216597162597E-1
1.37499999999999978E-7	-1.03558653653961685E-1
1.38000000000000012E-7	-7.93199488737820069E-2
1.38499999999999979E-7	-4.02828819091527635E-2
1.39000000000000012E-7	1.05297817495132029E-2
1.39500000000000002E-7	6.93178429157012665E-2
1.40000000000000013E-7	1.31834091389838570E-1
1.40500000000000025E-7	1.93831005919696842E-1
1.41000000000000014E-7	2.51480689584500450E-1
1.41500000000000004E-7	3.01627892632233285E-1
1.41999999999999948E-7	3.42011149468204811E-1
1.42500000000000027E-7	3.71382225536296184E-1
1.42999999999999994E-7	3.89518971587620122E-1
1.43499999999999983E-7	3.97138399260336694E-1
1.44000000000000017E-7	3.95727023766112485E-1
1.44500000000000028E-7	3.87324925946106857E-1
1.44999999999999996E-7	3.74302389776890987E-1
1.45500000000000007E-7	3.59040396746763246E-1
1.45999999999999996E-7	3.43646335224009913E-1
1.46500000000000030E-7	3.29831296659119211E-1
1.47000000000000020E-7	3.18799690127646640E-1
1.47500000000000053E-7	3.11208040932025742E-1
1.48000000000000020E-7	3.07187923565945420E-1
1.48500000000000032E-7	3.06420625230209609E-1
1.48999999999999999E-7	3.08246149798981284E-1
1.49499999999999988E-7	3.11792937588177166E-1
1.50000000000000000E-7	3.16191001417393247E-1
1.50500000000000034E-7	3.20395541212088375E-1
1.51000000000000001E-7	3.23483452901156188E-1
1.51499999999999990E-7	3.24643510463260832E-1
1.52000000000000024E-7	3.23190354268095081E-1
1.52500000000000036E-7	3.18556453348513191E-1
1.53000000000000025E-7	3.10272674774696089E-1
1.53499999999999992E-7	2.97949330344835461E-1
1.54000000000000004E-7	2.81268519382785964E-1
1.54499999999999971E-7	2.59989595486749314E-1
1.55000000000000004E-7	2.33889472365667794E-1
1.55500000000000016E-7	2.03093212308901094E-1
1.56000000000000028E-7	1.67915155371661928E-1
1.56499999999999995E-7	1.28974668725665564E-1
1.57000000000000028E-7	8.72451315051390708E-2
1.57499999999999996E-7	4.40758164787582096E-2
1.58000000000000029E-7	1.17548548329164926E-3
1.58500000000000041E-7	-3.94492571440576167E-2
1.59000000000000030E-7	-7.56021043166272921E-2
1.59500000000000020E-7	-1.05046512841775441E-1
1.60000000000000009E-7	-1.25634121987488023E-1
1.60500000000000043E-7	-1.35661200098236234E-1
1.61000000000000010E-7	-1.33886462044381815E-1
1.61499999999999999E-7	-1.19741484895256356E-1
1.62000000000000033E-7	-9.34418394703480359E-2
1.62500000000000000E-7	-5.60368385227290577E-2
1.62999999999999989E-7	-9.38869362620691028E-3
1.63500000000000023E-7	4.39208609668412908E-2
1.64000000000000035E-7	1.00750702222798805E-1
1.64499999999999980E-7	1.57602420452471970E-1
1.65000000000000013E-7	2.10750651138587974E-1
1.65500000000000025E-7	2.56840005334737098E-1
1.66000000000000014E-7	2.92908773164895120E-1
1.66500000000000004E-7	3.16631637242780029E-1
1.66999999999999993E-7	3.26470872677308321E-1
1.67500000000000004E-7	3.21759455405265538E-1
1.68000000000000038E-7	3.02711498089112929E-1
1.68500000000000005E-7	2.70363016008887058E-1
1.69000000000000017E-7	2.26452909531356683E-1
1.69500000000000028E-7	1.73271216413135010E-1
1.70000000000000040E-7	1.13571082669896795E-1
1.70500000000000052E-7	5.00914716960691475E-2
1.71000000000000041E-7	-1.44576577865710520E-2
1.71499999999999986E-7	-7.75637932123469742E-2
1.71999999999999975E-7	-1.37023179346777191E-1
1.72500000000000009E-7	-1.91009364671194337E-1
1.72999999999999998E-7	-2.38101470841730301E-1
1.73500000000000010E-7	-2.77279460311609416E-1
1.74000000000000021E-7	-3.07896821515352492E-1
1.74499999999999988E-7	-3.29642236706183489E-1
1.75000000000000022E-7	-3.42534876906356622E-1
1.75499999999999989E-7	-3.46784204508047988E-1
1.75999999999999979E-7	-3.42882826277713182E-1
