time	imag(VinPA[1])
2.75499999999999989E-7	-1.58478524220000150E-1
2.76000000000000023E-7	-2.34641359812435413E-1
2.76500000000000012E-7	-2.98126194077651263E-1
2.76999999999999957E-7	-3.45839966824380607E-1
2.77500000000000036E-7	-3.75965795810234971E-1
2.78000000000000025E-7	-3.88009620735739347E-1
2.78499999999999970E-7	-3.82731490148555720E-1
2.79000000000000004E-7	-3.61975472521462960E-1
2.79500000000000037E-7	-3.28427390576469191E-1
2.80000000000000027E-7	-2.85394417138378387E-1
2.80500000000000016E-7	-2.36269800850302980E-1
2.81000000000000050E-7	-1.84404263168207039E-1
2.81500000000000039E-7	-1.32819614310569944E-1
2.82000000000000028E-7	-8.40213115001718869E-2
2.82500000000000018E-7	-3.98853490957648837E-2
2.83000000000000007E-7	-1.62091853042815282E-3
2.83499999999999996E-7	3.01983395479319450E-2
2.83999999999999897E-7	5.55485723485919358E-2
2.84500000000000020E-7	7.48281056792491306E-2
2.85000000000000053E-7	8.87117641277336588E-2
2.85500000000000087E-7	9.80211413466116532E-2
2.85999999999999988E-7	1.03665312713872071E-1
2.86500000000000110E-7	1.06517801497710440E-1
2.86999999999999966E-7	1.07361031556967146E-1
2.87500000000000000E-7	1.06861947919480382E-1
2.88000000000000034E-7	1.05573179652623228E-1
2.88500000000000023E-7	1.03950926600656612E-1
2.89000000000000057E-7	1.02379388345710276E-1
2.89499999999999957E-7	1.01197956643286635E-1
2.89999999999999991E-7	1.00737105105808289E-1
2.90499999999999980E-7	1.01255363835372858E-1
2.91000000000000014E-7	1.02920507119410609E-1
2.91500000000000048E-7	1.05799072394993265E-1
2.91999999999999993E-7	1.09824831818089841E-1
2.92500000000000027E-7	1.14771699105370795E-1
2.93000000000000060E-7	1.20238905169651189E-1
2.93499999999999961E-7	1.25654876159849938E-1
2.94000000000000039E-7	1.30303649491313367E-1
2.94499999999999984E-7	1.33380176737807687E-1
2.95000000000000107E-7	1.34118777109776466E-1
2.95500000000000007E-7	1.31707742913456571E-1
2.96000000000000041E-7	1.25489069998153369E-1
2.96499999999999986E-7	1.15025658131923381E-1
2.97000000000000064E-7	1.00171737642234593E-1
2.97500000000000053E-7	8.11197097341603879E-2
