time	real(VoutPA[1])
1.56000000000000028E-7	8.27081553234468103E-3
1.56499999999999995E-7	2.72357124579660548E-2
1.57000000000000028E-7	3.97563123652615369E-2
1.57499999999999996E-7	4.46409472574765243E-2
1.58000000000000029E-7	4.12624211638905436E-2
1.58500000000000041E-7	3.04785415184833974E-2
1.59000000000000030E-7	1.51938298675519001E-2
1.59500000000000020E-7	-8.39495110204507178E-4
1.60000000000000009E-7	-1.50230124485342142E-2
1.60500000000000043E-7	-2.66521756524488307E-2
1.61000000000000010E-7	-3.57236947137152772E-2
1.61499999999999999E-7	-4.19851794470954864E-2
1.62000000000000033E-7	-4.45398159407773608E-2
1.62500000000000000E-7	-4.16998335504785445E-2
1.62999999999999989E-7	-3.12555048909918209E-2
1.63500000000000023E-7	-1.23275478336996014E-2
1.64000000000000035E-7	1.11202630345157005E-2
1.64499999999999980E-7	3.16754220084043769E-2
1.65000000000000013E-7	4.63595386395065834E-2
1.65500000000000025E-7	5.78541317795119081E-2
1.66000000000000014E-7	6.92950932415791065E-2
1.66500000000000004E-7	8.21178345683177646E-2
1.66999999999999993E-7	9.66580182123680842E-2
1.67500000000000004E-7	1.12873158721731670E-1
1.68000000000000038E-7	1.30592495300821243E-1
1.68500000000000005E-7	1.49573849372808709E-1
1.69000000000000017E-7	1.69497167522975967E-1
1.69500000000000028E-7	1.89896833790668351E-1
1.70000000000000040E-7	2.09983814984255934E-1
1.70500000000000052E-7	2.28394941615665470E-1
1.71000000000000041E-7	2.43372989379271676E-1
1.71499999999999986E-7	2.53270748138512136E-1
1.71999999999999975E-7	2.57170853860597726E-1
1.72500000000000009E-7	2.55230716903309940E-1
1.72999999999999998E-7	2.48604491298926833E-1
1.73500000000000010E-7	2.38994436001695387E-1
1.74000000000000021E-7	2.28172119278451824E-1
1.74499999999999988E-7	2.17728219353850738E-1
1.75000000000000022E-7	2.08899279609669097E-1
1.75499999999999989E-7	2.02838093432639477E-1
1.75999999999999979E-7	2.00428560593888738E-1
1.76499999999999990E-7	2.02253644475918026E-1
1.77000000000000002E-7	2.08515795163175666E-1
1.77500000000000013E-7	2.18889998992727186E-1
1.77999999999999980E-7	2.32357083440218126E-1
1.78500000000000059E-7	2.47168432265963833E-1
1.79000000000000026E-7	2.61135979198969448E-1
1.79499999999999993E-7	2.72265858640293734E-1
1.80000000000000027E-7	2.79452180675166906E-1
1.80500000000000060E-7	2.82451111749750394E-1
1.81000000000000050E-7	2.81598062249025993E-1
1.81500000000000017E-7	2.77223781180477236E-1
1.82000000000000051E-7	2.69274850523483167E-1
1.82499999999999996E-7	2.57185871535506738E-1
1.83000000000000007E-7	2.39919678899396782E-1
1.83500000000000019E-7	2.16183776826203422E-1
1.83999999999999986E-7	1.84950329252749635E-1
1.84499999999999997E-7	1.46339715381241153E-1
1.85000000000000031E-7	1.02357207057340638E-1
1.85499999999999998E-7	5.68375919369527871E-2
1.86000000000000032E-7	1.36652555405981002E-2
1.86500000000000021E-7	-2.47835705481566348E-2
1.87000000000000055E-7	-5.77021385679975651E-2
1.87500000000000000E-7	-8.49876800153176504E-2
1.87999999999999989E-7	-1.06574940642776061E-1
1.88500000000000001E-7	-1.22564203002999461E-1
1.89000000000000012E-7	-1.33998327462516587E-1
1.89500000000000002E-7	-1.43109029142990218E-1
1.90000000000000036E-7	-1.52199766180086593E-1
1.90500000000000003E-7	-1.62772880614202031E-1
1.91000000000000014E-7	-1.75620952613046999E-1
1.91500000000000026E-7	-1.91202773622934896E-1
1.91999999999999993E-7	-2.09627675376968448E-1
1.92500000000000004E-7	-2.30385292454956847E-1
1.93000000000000060E-7	-2.52076935107327227E-1
1.93500000000000050E-7	-2.72346425508155310E-1
1.93999999999999995E-7	-2.88112952802020361E-1
1.94499999999999984E-7	-2.96183165014159311E-1
1.95000000000000018E-7	-2.94221258770396732E-1
1.95500000000000007E-7	-2.81266623882778966E-1
1.95999999999999996E-7	-2.57399417376790129E-1
1.96500000000000008E-7	-2.22988363668445011E-1
1.97000000000000020E-7	-1.78148230970390253E-1
1.97500000000000031E-7	-1.22496668494000449E-1
1.97999999999999976E-7	-5.58385102788056109E-2
1.98500000000000010E-7	1.98586052515487843E-2
1.99000000000000021E-7	9.87793817597391133E-2
1.99499999999999988E-7	1.71924907390858772E-1
2.00000000000000044E-7	2.30328444757029027E-1
2.00499999999999989E-7	2.69271077376032553E-1
2.01000000000000023E-7	2.89063104837818097E-1
2.01500000000000012E-7	2.91781663068173769E-1
2.02000000000000002E-7	2.78953937410465480E-1
2.02500000000000036E-7	2.50832740631745432E-1
2.03000000000000025E-7	2.06715288159843436E-1
2.03500000000000059E-7	1.46278639956090872E-1
2.04000000000000004E-7	7.19104283096096530E-2
2.04499999999999993E-7	-8.68362207671772524E-3
2.05000000000000027E-7	-8.36355151171351352E-2
2.05499999999999972E-7	-1.43253315826005756E-1
2.06000000000000005E-7	-1.83720038569848843E-1
2.06500000000000039E-7	-2.05181252899192934E-1
2.07000000000000028E-7	-2.08701491424005159E-1
2.07500000000000062E-7	-1.94315286670640552E-1
2.08000000000000007E-7	-1.60396899900374201E-1
2.08500000000000041E-7	-1.04233417479518797E-1
2.08999999999999986E-7	-2.49041118775422410E-2
2.09499999999999975E-7	7.01593676999040383E-2
2.10000000000000053E-7	1.62051985553105826E-1
2.10499999999999998E-7	2.32627983867771659E-1
2.11000000000000032E-7	2.78337516082575753E-1
2.11499999999999977E-7	3.04997435755863755E-1
2.12000000000000011E-7	3.18316523081272829E-1
2.12500000000000000E-7	3.21467865558919197E-1
2.12999999999999989E-7	3.15889507820026072E-1
2.13500000000000068E-7	3.02120117449430126E-1
2.14000000000000012E-7	2.80337346471009541E-1
2.14500000000000046E-7	2.50898176005859330E-1
2.14999999999999947E-7	2.14916301247204933E-1
2.15500000000000025E-7	1.74642895956899968E-1
2.16000000000000014E-7	1.33313783670455255E-1
2.16500000000000004E-7	9.47835161469769005E-2
2.17000000000000126E-7	6.38042823304365037E-2
2.17499999999999982E-7	4.48784567244981414E-2
2.18000000000000016E-7	3.92392877623630287E-2
2.18500000000000050E-7	4.42990783850430070E-2
2.19000000000000039E-7	5.57475194922793271E-2
2.19500000000000028E-7	6.94012168223481130E-2
2.19999999999999973E-7	8.18811292236441446E-2
2.20500000000000007E-7	9.05261063015369416E-2
2.21000000000000041E-7	9.32501573456985078E-2
2.21499999999999986E-7	8.82968179777429896E-2
2.21999999999999975E-7	7.39869135483542983E-2
2.22499999999999964E-7	4.85596972771133206E-2
2.22999999999999998E-7	1.03214251129049717E-2
2.23500000000000032E-7	-4.14898450372565097E-2
2.24000000000000021E-7	-1.04503755864175440E-1
2.24500000000000011E-7	-1.70261558121938439E-1
2.25000000000000044E-7	-2.25808934035836950E-1
2.25499999999999989E-7	-2.62518349146687680E-1
2.26000000000000023E-7	-2.80354134527466448E-1
2.26500000000000057E-7	-2.83293120616747318E-1
2.27000000000000046E-7	-2.74468962967432173E-1
2.27500000000000080E-7	-2.54684693345131308E-1
2.28000000000000025E-7	-2.22673921420165222E-1
2.28500000000000014E-7	-1.75500114215494607E-1
2.29000000000000004E-7	-1.09245435268050617E-1
2.29499999999999993E-7	-2.23763884682970327E-2
2.29999999999999982E-7	7.54218248501216593E-2
2.30499999999999972E-7	1.61891207625840705E-1
2.31000000000000050E-7	2.22677055112952305E-1
2.31499999999999995E-7	2.60462632594624610E-1
2.31999999999999984E-7	2.83292746554665698E-1
2.32500000000000018E-7	2.96508601266399330E-1
2.33000000000000007E-7	3.02516166657507402E-1
2.33500000000000041E-7	3.02287653245971244E-1
2.34000000000000030E-7	2.96243524581819750E-1
2.34499999999999975E-7	2.84750022580246798E-1
2.34999999999999964E-7	2.68563946555559063E-1
2.35499999999999998E-7	2.49116484767312807E-1
2.36000000000000076E-7	2.28483493017127204E-1
2.36500000000000021E-7	2.09005443015963577E-1
2.37000000000000011E-7	1.92720942392897254E-1
2.37500000000000044E-7	1.80948835468522362E-1
2.38000000000000034E-7	1.74188785884338970E-1
2.38499999999999979E-7	1.72238775435346048E-1
2.38999999999999968E-7	1.74353201679885528E-1
2.39500000000000002E-7	1.79382536624479405E-1
2.39999999999999991E-7	1.85958866776911669E-1
2.40500000000000025E-7	1.92631118874622786E-1
2.40999999999999925E-7	1.98119535316155604E-1
2.41500000000000048E-7	2.01456528738079710E-1
2.42000000000000037E-7	2.02027411049321071E-1
2.42499999999999982E-7	1.99529159490966479E-1
2.42999999999999972E-7	1.93904339105800361E-1
2.43500000000000005E-7	1.85268186882338237E-1
2.44000000000000039E-7	1.73827395938767060E-1
2.44499999999999984E-7	1.59771781136437374E-1
2.45000000000000062E-7	1.43075667118825089E-1
2.45500000000000007E-7	1.23597531001957561E-1
2.46000000000000041E-7	1.00961534003915032E-1
2.46500000000000030E-7	7.45556674401799935E-2
2.46999999999999975E-7	4.37251791698048109E-2
2.47499999999999964E-7	8.22960468293621084E-3
2.47999999999999998E-7	-3.10421204018094521E-2
2.48500000000000032E-7	-7.13540538216069642E-2
2.49000000000000066E-7	-1.08621740702070735E-1
2.49499999999999922E-7	-1.40095129922132156E-1
2.50000000000000044E-7	-1.64981413161115831E-1
2.50500000000000078E-7	-1.82817933316947556E-1
2.50999999999999979E-7	-1.93700599529544104E-1
2.51500000000000012E-7	-1.98557752152853029E-1
2.52000000000000046E-7	-1.98475647780961384E-1
2.52499999999999991E-7	-1.94198169532596743E-1
2.52999999999999936E-7	-1.86078672798727762E-1
2.53500000000000059E-7	-1.74231696122387980E-1
2.54000000000000004E-7	-1.58665982307303466E-1
2.54499999999999993E-7	-1.39014612644042690E-1
2.54999999999999982E-7	-1.13208512965065200E-1
2.55500000000000060E-7	-7.74032549298391004E-2
2.56000000000000005E-7	-3.31331567186014420E-2
2.56499999999999995E-7	9.88769971929551339E-3
2.57000000000000073E-7	4.35901929009369127E-2
2.57500000000000018E-7	6.62409036537785489E-2
2.57999999999999963E-7	7.92830820013826187E-2
2.58499999999999996E-7	8.43130327879692487E-2
2.58999999999999986E-7	8.22197706149119156E-2
2.59500000000000020E-7	7.31894149881829925E-2
2.60000000000000009E-7	5.67527120586448408E-2
2.60500000000000043E-7	3.20372780048397088E-2
2.61000000000000076E-7	-1.97015205835189522E-3
2.61500000000000021E-7	-4.55813426486400530E-2
2.62000000000000011E-7	-9.72135783449881608E-2
2.62500000000000089E-7	-1.53080279770563887E-1
2.62999999999999989E-7	-2.08072354149151861E-1
2.63500000000000068E-7	-2.56771011485461109E-1
2.64000000000000012E-7	-2.95068115433432254E-1
2.64499999999999957E-7	-3.21519906427029811E-1
2.65000000000000036E-7	-3.36760073468500787E-1
2.65500000000000069E-7	-3.42002554870795850E-1
2.66000000000000014E-7	-3.37967906489588676E-1
2.66500000000000004E-7	-3.24395451749120101E-1
2.66999999999999948E-7	-2.99793997847010996E-1
2.67500000000000027E-7	-2.61245141377583323E-1
2.68000000000000016E-7	-2.04441353545411175E-1
2.68500000000000005E-7	-1.24797362439754811E-1
2.69000000000000083E-7	-2.22196699936757058E-2
2.69500000000000028E-7	8.91969582549933016E-2
2.70000000000000018E-7	1.84657368082848272E-1
2.70499999999999963E-7	2.50134898161448493E-1
2.70999999999999996E-7	2.88406138828670899E-1
2.71500000000000030E-7	3.07322663596394552E-1
2.72000000000000064E-7	3.12017061799762541E-1
2.72500000000000009E-7	3.04382378789663122E-1
2.73000000000000043E-7	2.84106418780915648E-1
2.73499999999999943E-7	2.49199842211840705E-1
2.74000000000000021E-7	1.96451400355824624E-1
2.74500000000000011E-7	1.22835170159811180E-1
2.74999999999999956E-7	2.93460699250826185E-2
2.75499999999999989E-7	-7.28547821089887293E-2
2.76000000000000023E-7	-1.64580542543333430E-1
2.76500000000000012E-7	-2.33594650973912987E-1
2.76999999999999957E-7	-2.79719090880499710E-1
2.77500000000000036E-7	-3.08173843157685301E-1
2.78000000000000025E-7	-3.23811221437013153E-1
2.78499999999999970E-7	-3.29718039027068865E-1
2.79000000000000004E-7	-3.27666965582980074E-1
2.79500000000000037E-7	-3.18669722446492942E-1
2.80000000000000027E-7	-3.03358969208705576E-1
2.80500000000000016E-7	-2.82133657434751850E-1
2.81000000000000050E-7	-2.55402234083913227E-1
2.81500000000000039E-7	-2.23761828068244206E-1
2.82000000000000028E-7	-1.88089094888340602E-1
2.82500000000000018E-7	-1.49484243339363276E-1
