time	imag(VoutPA[1])
1.54499999999999971E-7	-2.13985034696965659E-1
1.55000000000000004E-7	-2.09978133013151202E-1
1.55500000000000016E-7	-2.00096252281800702E-1
1.56000000000000028E-7	-1.83486797966042192E-1
1.56499999999999995E-7	-1.59433134130742316E-1
1.57000000000000028E-7	-1.27452565472282897E-1
1.57499999999999996E-7	-8.76253722586812245E-2
1.58000000000000029E-7	-4.11965448049248906E-2
1.58500000000000041E-7	8.79061024838610194E-3
1.59000000000000030E-7	5.75631352210512848E-2
1.59500000000000020E-7	9.99321524288014373E-2
1.60000000000000009E-7	1.31981202290275346E-1
1.60500000000000043E-7	1.51855569058100692E-1
1.61000000000000010E-7	1.59035546150054552E-1
1.61499999999999999E-7	1.53261264940798303E-1
1.62000000000000033E-7	1.33869490345378961E-1
1.62500000000000000E-7	9.97328236516859512E-2
1.62999999999999989E-7	4.99882549584989810E-2
1.63500000000000023E-7	-1.39800325008684823E-2
1.64000000000000035E-7	-8.59031479201354919E-2
1.64499999999999980E-7	-1.55196357796606410E-1
1.65000000000000013E-7	-2.12764950164931665E-1
1.65500000000000025E-7	-2.55720609070916760E-1
1.66000000000000014E-7	-2.85579349166945740E-1
1.66500000000000004E-7	-3.04795404404756942E-1
1.66999999999999993E-7	-3.15232359317963828E-1
1.67500000000000004E-7	-3.18031233830637428E-1
1.68000000000000038E-7	-3.13771185644706518E-1
1.68500000000000005E-7	-3.02592110939863712E-1
1.69000000000000017E-7	-2.84289631150425448E-1
1.69500000000000028E-7	-2.58462266572356114E-1
1.70000000000000040E-7	-2.24859800937757015E-1
1.70500000000000052E-7	-1.83701823473571046E-1
1.71000000000000041E-7	-1.36096222018729041E-1
1.71499999999999986E-7	-8.40410807079616795E-2
1.71999999999999975E-7	-3.01966841136885655E-2
1.72500000000000009E-7	2.23110825835265558E-2
1.72999999999999998E-7	7.03804335222638500E-2
1.73500000000000010E-7	1.11702998547900489E-1
1.74000000000000021E-7	1.45126271116517547E-1
1.74499999999999988E-7	1.70397132886397529E-1
1.75000000000000022E-7	1.87755697016646916E-1
1.75499999999999989E-7	1.97467845161317834E-1
1.75999999999999979E-7	1.99715128328975045E-1
1.76499999999999990E-7	1.94578443917933330E-1
1.77000000000000002E-7	1.82087308519326974E-1
1.77500000000000013E-7	1.62364444611657777E-1
1.77999999999999980E-7	1.35892836781842274E-1
1.78500000000000059E-7	1.03876264480988745E-1
1.79000000000000026E-7	6.85289680131426060E-2
1.79499999999999993E-7	3.30147335905390005E-2
1.80000000000000027E-7	8.29514223791659688E-4
1.80500000000000060E-7	-2.50430335130747928E-2
1.81000000000000050E-7	-4.27001776217438067E-2
1.81500000000000017E-7	-5.12386875198820668E-2
1.82000000000000051E-7	-5.03871086517969413E-2
1.82499999999999996E-7	-4.02462189225618694E-2
1.83000000000000007E-7	-2.13116033719253561E-2
1.83500000000000019E-7	5.22442125499288590E-3
1.83999999999999986E-7	3.70453305996719040E-2
1.84499999999999997E-7	7.04906934927887807E-2
1.85000000000000031E-7	1.00963982012105791E-1
1.85499999999999998E-7	1.24118875811766793E-1
1.86000000000000032E-7	1.36825387558419531E-1
1.86500000000000021E-7	1.37283430593340250E-1
1.87000000000000055E-7	1.24600080709382044E-1
1.87500000000000000E-7	9.85168234999752812E-2
1.87999999999999989E-7	5.97415331847380937E-2
1.88500000000000001E-7	1.09170710540925664E-2
1.89000000000000012E-7	-4.26258525357781171E-2
1.89500000000000002E-7	-9.38689043347958929E-2
1.90000000000000036E-7	-1.36769244417916713E-1
1.90500000000000003E-7	-1.68146331874837629E-1
1.91000000000000014E-7	-1.87197093832554673E-1
1.91500000000000026E-7	-1.94115593793188035E-1
1.91999999999999993E-7	-1.89181907071499555E-1
1.92500000000000004E-7	-1.72521075019646641E-1
1.93000000000000060E-7	-1.44297183337435087E-1
1.93500000000000050E-7	-1.05151347989245658E-1
1.93999999999999995E-7	-5.68044941528083314E-2
1.94499999999999984E-7	-2.60026111514673719E-3
1.95000000000000018E-7	5.29560465040226092E-2
1.95500000000000007E-7	1.05739471693776732E-1
1.95999999999999996E-7	1.53047723275843905E-1
1.96500000000000008E-7	1.93184870448921364E-1
1.97000000000000020E-7	2.24873509385851778E-1
1.97500000000000031E-7	2.46958935949421976E-1
1.97999999999999976E-7	2.57776126969031250E-1
1.98500000000000010E-7	2.54531784871460776E-1
1.99000000000000021E-7	2.34294908175817751E-1
1.99499999999999988E-7	1.96883162310000581E-1
2.00000000000000044E-7	1.46739841641354229E-1
2.00499999999999989E-7	9.07993716194118505E-2
